Authors,Publication.Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
"Hooper, RE; Plaistow, SJ; Tsubaki, Y",2006,Hooper et al 2006,Mnais costalis,invertebrate,clear,,orange,wings,carotenoid,N/A,mature,males,field,year round,Plastic,time,56,F,8.11,1,55,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carola, V; Perlas, E; Zonfrillo, F; Soini, HA; Novotny, MV; Gross, CT",2014,Carola et al 2014,Mus musculus,vertebrate,non-agouti,,agouti,body,melanocortin ,pheomelanin,mature,both,domestic,year round,No,number of attacks,20,F,-5.4,1,18,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Franklin, AM; Donatelli, CM; Culligan, CR; Tytell, ED",2019,Franklin et al 2019,Neogonodactylus oerstedii,invertebrate,light meral spots,,dark meral spots,legs,carotenoid,N/A,mature,both,lab,year round,No,strike,18,X2,5.44,1,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balzarini, V; Taborsky, M; Villa, F; Frommen, JG",2017,Balzarini et al 2017,Neolamprologus pulcher,vertebrate,no stripes,light stripes,dark stripes,body,melanocortin,eumelanin,mature,both,captivity,year round,No,score,30,X2,6.84,2,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crothers, LR; Cummings, ME",2015,Crothers and Cummings 2015,Oophaga pumilio,vertebrate,light red,,bright red,body,carotenoid,N/A,mature,males,field,year round,No,call latency (sec),21,X2,4.26,1,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crothers, L; Gering, E; Cummings, M",2011,Crothers et al 2011,Oophaga pumilio,vertebrate,dull,,bright,dorsal,carotenoid,N/A,mature,males,captivity,year round,No,approach,75,F,5.9355,1,74,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rudh, A; Breed, MF; Qvarnstrom, A",2013,Rudh et al 2013,Oophaga pumilio,vertebrate,green,,red,body,carotenoid,N/A,mature,males,field,year round,No,score,70,mean,NA,NA,NA,,NA,35,0.438,NA,0.225,1.331117951,35,0.745,NA,0.052,0.307636149
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 1,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,track high red,140,X2,2.1,2,NA,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 2,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,track high blue,139,X2,4.25,2,NA,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 3,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,approach high red,140,X2,2.77,2,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
