,Authors,Publication.Year,Study,Class,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
47,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al. 2012 - 4,,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,pheomelanin,mature,males,captivity,year round,No,vocal aggression score,31,mean,NA,NA,NA,,NA,14,-0.67,NA,0.36,1.346996659,17,0.11,NA,0.01,0.041231056,-0.103491722,0.184698213,-0.103863598,0.188982237,5.291502622
48,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al. 2012 - 3,,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,pheomelanin,mature,males,captivity,year round,No,physical aggression score,31,mean,NA,NA,NA,,NA,14,0.01,NA,0.31,1.15991379,17,0.01,NA,0.36,1.484318025,0,0.185695338,0,0.188982237,5.291502622
49,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al. 2012 - 2,,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,pheomelanin,mature,females,captivity,year round,No,vocal aggression score,31,mean,NA,NA,NA,,NA,14,0.2,NA,0.33,1.234746938,17,-0.01,NA,0.31,1.278162744,0.029821232,0.18561275,0.029830077,0.188982237,5.291502622
50,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al. 2012 - 1,,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,pheomelanin,mature,females,captivity,year round,No,physical aggression score,31,mean,NA,NA,NA,,NA,14,0.84,NA,0.34,1.272163512,17,-0.01,NA,0.59,2.432632319,0.111048348,0.184546813,0.111508228,0.188982237,5.291502622
51,"Horton, BM; Moore, IT; Maney, DL",2014,Horton et al. 2014,,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,pheomelanin,mature,males,captivity,year round,No,territorial,30,t,4.2,29,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77077915,0.120401042,1.022244488,0.19245009,5.196152423
52,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al. 2015 - 8,,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,songs per 10 min,19,mean,NA,NA,NA,,NA,10,23.516,NA,NA,19.68296296,9,1.733,NA,NA,7.089382716,0.238964623,0.235508949,0.243675742,0.25,4
53,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al. 2015 - 7,,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,trills per 10 min,19,mean,NA,NA,NA,,NA,10,0,NA,NA,0.24691358,9,0,NA,NA,0.49382716,0,0.242535625,0,0.25,4
54,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al. 2015 - 6,,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,chips per 10 min,19,mean,NA,NA,NA,,NA,10,20.846,NA,NA,41.38765432,9,16.172,NA,NA,19.32790123,0.024778416,0.242461159,0.024783489,0.25,4
55,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al. 2015 - 5,,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,flights per 10 min,19,mean,NA,NA,NA,,NA,10,7.565,NA,NA,9.093333333,9,11.342,NA,NA,11.44197531,-0.087879319,0.241597286,-0.088106597,0.25,4
56,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al. 2015 - 4,,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,time in 5 m (min),19,mean,NA,NA,NA,,NA,10,10.154,NA,NA,0.303703704,9,10.155,NA,NA,0.835555556,-0.000615098,0.242535579,-0.000615099,0.25,4
