Authors,Publication Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression Units,Sample Size,Stat Test,Test Statistic,df1,df2,p-value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
"McElroy, EJ; Marien, C; Meyers, JJ; Irschick, DJ",2007,McElroy et al 2007,Urosaurus ornatus,vertebrate,orange,yellow,blue,ventral,carotenoid,,mature,males,field,year round,,number of pushups per display,43,F,10.84,1,32,0.002,,,,,,,,,,,
"McGraw, KJ; Dale, J; Mackillop, EA",2003,McGraw et al 2003,Passer domesticus,vertebrate,small size,,large size,body,melanocortin,,mature,males,captivity,non-breeding,,rankinteraction rate,42,F,4.05,1,42,0.05,,,,,,,,,,,
"McGraw, KJ; Medina-Jerez, W; Adams, H",2007,McGraw et al 2007,Carpodacus mexicanus,vertebrate,light red,,bright red,ventral,carotenoid,,mature,males,captivity,non-breeding,,encounters won,16,t,-1.72,15,,0.09,,,,,,,,,,,
"Moore, MP; Martin, RA",2016,Moore and Martin 2016,Pachydiplax longipennis,invertebrate,less black,,more black,wing tips,melanocortin,,mature,males,field,year round,,contests won,155,X2,6.5,1,,0.011,,,,,,,,,,,
"Morimoto, G; Yamaguchi, N; Ueda, K",2006,Morimoto et al 2006,Tarsiger cyanurus,vertebrate,olive-brown,,blue,body,unknown,,both,males,field,year round,,"fighting, chasing, threatening",74,F,9.411,2,14,0.003,,,,,,,,,,,
"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 1,Gallus gallus domesticus,vertebrate,white,,red,body,carotenoid,,mature,females,domestic,year round,,chase and attack,10,mean,,,,,,5,40.6,,,6.8,5,24.8,,,12.89
"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 2,Gallus gallus domesticus,vertebrate,white,,red,body,carotenoid,,mature,females,domestic,year round,,peak and threat,10,mean,,,,,,5,236.6,,,33.49,5,158.4,,,45.57
"O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,O'Connor et al 2011,Gallus gallus domesticus,vertebrate,small,,large,comb,carotenoid,,mature,females,domestic,year round,,dominance score,120,F,13.68,1,110,0.001,,,,,,,,,,,
"O'Connor, KI; Metcalfe, NB; Taylor, AC",1999,O'Connor et al 1999,Salmo salar,vertebrate,light grey,slate grey,dark grey,body,melanocortin,,mature,both,captivity,year round,,score,33,r,,,,0.19,-0.23,,,,,,,,,,
"Petrocelli, I; Ricciardi, G; de Souza, AR; Ermanni, A; Ninu, A; Turillazzi, S",2015,Petrocelli et al 2015,Polistes gallicus,invertebrate,small black,,large black,head,melanocortin,,mature,females,captivity,year round,,dominance,42,X2,4.011,1,,0.042,,,,,,,,,,,
