,Authors,Publication.Year,Study,Species,Geographic,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Social_Rank_Controlled,Obs_vs_Exp,Condition_Stats,Condition,Age,Sex,Location,Season,Plasticity,Aggression,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
43,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 5,Ficedula hypoleuca,"Konnevesi Research Station, Jyvaskyla, Finland",vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,juvenile,males,field,year round,Plastic,Indirect,distance,33,r,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 6,Ficedula hypoleuca,"Konnevesi Research Station, Jyvaskyla, Finland",vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,juvenile,males,field,year round,Plastic,Direct,attacks,33,r,NA,NA,NA,0.1,-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 1,Gallus gallus domesticus,Sweden,vertebrate,white,,wild type,body,melanocortin,eumelanin,isolated and mirror,Exp,NS,Weight,juvenile,females,domestic,year round,No,Direct,% of obs,23,mean,NA,NA,NA,NA,NA,9,2.2,NA,0.5,1.5,14,1.1,NA,0.3,1.1225
46,"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 2,Gallus gallus domesticus,Sweden,vertebrate,white,,wild type,body,melanocortin,eumelanin,isolated and mirror,Exp,NS,Weight,juvenile,males,domestic,year round,No,Direct,% of obs,22,mean,NA,NA,NA,NA,NA,6,2,NA,0.7,1.715,16,3.6,NA,0.6,2.4
47,"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 3,Gallus gallus domesticus,Sweden,vertebrate,white,,wild type,body,melanocortin,eumelanin,isolated and mirror,Exp,NS,Weight,mature,females,domestic,year round,No,Direct,% of obs,23,mean,NA,NA,NA,NA,NA,9,1.5,NA,0.6,1.8,14,2,NA,0.7,2.6192
48,"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 4,Gallus gallus domesticus,Sweden,vertebrate,white,,wild type,body,melanocortin,eumelanin,isolated and mirror,Exp,NS,Weight,mature,males,domestic,year round,No,Direct,% of obs,22,mean,NA,NA,NA,NA,NA,6,0,NA,0,0,16,6.2,NA,2,8
,"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 1,Gallus gallus domesticus,"Hehei Dawu Co., Ltd, Beijing, China",vertebrate,white,,red,body,melanocortin,eumelanin,uncontrolled,Obs,NS,Weight,mature,females,domestic,year round,No,Direct,chase and attack,10,mean,NA,NA,NA,,NA,5,40.6,NA,NA,6.8,5,24.8,NA,NA,45.57
,"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 2,Gallus gallus domesticus,"Hehei Dawu Co., Ltd, Beijing, China",vertebrate,white,,red,body,melanocortin,eumelanin,uncontrolled,Obs,NS,Weight,mature,females,domestic,year round,No,Direct,peak and threat,10,mean,NA,NA,NA,,NA,5,236.6,NA,NA,33.49,5,158.4,NA,NA,45.54
51,"O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,O'Connor et al 2011 - 1,Gallus gallus domesticus,"Noble Foods Ltd., Blisthorpe, UK",vertebrate,small,,large,comb,melanocortin,eumelanin,uncontrolled,Obs,"Covariate (F1,111 = 0.01, P = 0.91)",Weight and comb size,mature,females,domestic,year round,No,Indirect,dominance score and area,120,F,13.68,1,110,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,O'Connor et al 2011 - 2,Gallus gallus domesticus,"Noble Foods Ltd., Blisthorpe, UK",vertebrate,small,,large,comb,melanocortin,eumelanin,uncontrolled,Obs,"Covariate (F1,111 = 0.01, P = 0.91)",Weight and comb size,mature,females,domestic,year round,No,Indirect,dominance score and luminance,120,F,2.75,1,100,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Horth, L",2003,Horth 2003,Gambusia holbrooki,"Wakulla County, FL, USA",vertebrate,silver,,black,body,melanocortin,eumelanin,uncontrolled,Exp,"NS (t9 = 0.297, p=0.773)",Length,mature,males,captivity,year round,No,Direct,time,8,t,2.74,7,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Baube, CL",1997,Baube 1997,Gasterosteus aculeatus,"Long Island, New York, USA",vertebrate,dull red,,bright red,body,carotenoid,N/A,isolated,Exp,Size matched,Weight per length,mature,males,lab,breeding,Plastic,Direct,latency seconds,170,X2,10.741,1,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al 2015 - 1,Gasterosteus aculeatus,"Washington, USA",vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,"Covariate (t = 2.54, P = 0.017 N =33 males, = 4.92, P <0.001, N = 27 females)",Length,mature,males,captivity,year round,No,Direct,number of behaviors,10,F,25.55,1,9.6,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
